Sr No.,NUMC_ID,morb_code,term_devanagari,term_iast,wordtree,parent_id,def_id,w_trans,w_def,refn,sys_id
1,1,SAT-A,मूलभूत-शब्दः,mūlabhūta-śabdaḥ,mUlaBUta-SabdaH,0,0,fundamental terms,terms related to fundamental principles of Ayurveda,,1
2,2,SAT-A.1,आयुर्वेदः,āyurvedaḥ,AyurvedaH,1,0,science of life,"science where advantageous and disadvantageous, happy and unhappy (states of) life along with what is good and bad for life, its measurement and life itself are described",,1
3,3,SAT-A.2,आयुः,āyuḥ,AyuH,2,0,life; lifespan,"combination of the body, sense organs, mind and soul",,1
4,4,SAT-A.3,धारि,dhāri,dhAri,3,0,that which sustains,the sustenance of life or the aspect of life which prevents decay,,1
5,5,SAT-A.4,जीवितम्,jīvitam,jIvitam,3,0,life,that which keeps the body alive,,1
6,6,SAT-A.5,नित्यग,nityaga,nityaga,3,0,incessant,continuous or uninterrupted process of life,,1
7,7,SAT-A.6,अनुबन्धः,anubandhaḥ,anubandhaH,3,0,continuity of life,"continuity of result in the form of life due to the association of body, sense organs, mind and soul; which transmigrates from one body to another",,1
8,8,SAT-A.7,आयुः-प्रकारः,āyuḥ-prakāraḥ,AyuH-prakAraH,2,0,types of life,"Four patterns of lifestyle viz., wholesome, unwholesome, happy and unhappy",,1
9,9,SAT-A.8,हितायुः,hitāyuḥ,hitAyuH,8,0,wholesome life,lifestyle which is beneficial to the self and the society,,1
10,10,SAT-A.9,अहितायुः,ahitāyuḥ,ahitAyuH,8,0,unwholesome life,lifestyle which is neither beneficial for the society nor for the self,,1
11,11,SAT-A.10,सुखायुः,sukhāyuḥ,suKAyuH,8,0,pleasant life,a lifestyle which provides comfort for the self,,1
12,12,SAT-A.11,दुःखायुः,duḥkhāyuḥ,duHKAyuH,8,0,unpleasant life,a lifestyle which results in sorrow/pain,,1
13,13,SAT-A.12,आयुर्वेद-स्वरूपम्,āyurveda-svarūpam,Ayurveda-svarUpam,2,0,the construct of Ayurveda,"the science and knowledge of life, which describes all substances of the universe in terms of their being beneficial, harmful, pleasant and unpleasant to life.",,1
